Carrera;IdCampus;Sexo;CicloIngreso;InstitucionBach_Encoded;TieneBeca;PorcentajeBeca_Promedio;MateriasInscritas_C1;MateriasAprobadas_C1;MateriasReprobadas_C1;TasaAprobacion_C1;PromedioCiclo_C1;MateriasInscritas_C2;MateriasAprobadas_C2;MateriasReprobadas_C2;TasaAprobacion_C2;PromedioCiclo_C2;TotalMateriasInscritas_Anio1;TotalMateriasAprobadas_Anio1;TotalMateriasReprobadas_Anio1;TasaAprobacion_Anio1;PromedioGeneral_Anio1;Deserto
2016-203;1;102302;01-2020;0.04000;0;NULL;4;4;0;1;8.04;3;3;0;1;9.08;7;7;0;1;8.56;0
2016-302;1;102301;01-2020;0.12500;0;NULL;5;1;4;0.2;4.37;2;2;0;1;6.83;7;3;4;0.4286;5.6;0
2019-209;1;102301;01-2021;0.07778;0;NULL;5;3;2;0.6;6.36;3;3;0;1;8.26;8;6;2;0.75;7.31;0
2019-209;1;102301;01-2021;0.08333;0;NULL;5;3;2;0.6;5.34;4;4;0;1;7.69;9;7;2;0.7778;6.51;0
2014-702;1;102301;01-2021;0.09351;0;NULL;5;3;1;0.6;5.92;2;2;0;1;7.51;7;5;1;0.7143;6.71;0
2021-413;1;102302;01-2021;0.11515;0;NULL;5;5;0;1;8.66;4;4;0;1;9.04;9;9;0;1;8.85;0
2016-302;1;102301;01-2021;0.08602;1;50;5;5;0;1;8.64;4;2;2;0.5;5.69;9;7;2;0.7778;7.16;0
2018-219;1;102302;01-2021;0.11230;0;NULL;3;3;0;1;7.33;3;3;0;1;7.19;6;6;0;1;7.26;0
2019-209;1;102302;01-2021;0.11801;0;NULL;5;5;0;1;9.07;4;4;0;1;8.12;9;9;0;1;8.6;0
2018-219;1;102302;01-2021;0.27273;0;NULL;3;3;0;1;7.81;3;3;0;1;8.3;6;6;0;1;8.05;0
2021-202;1;102302;01-2021;0.05675;0;NULL;5;4;0;0.8;5.95;4;4;0;1;7.96;9;8;0;0.8889;6.95;0
2019-409;1;102302;01-2021;0.18519;0;NULL;5;5;0;1;8.72;5;4;0;0.8;6.6;10;9;0;0.9;7.66;0
2016-303;1;102302;01-2021;0.09735;0;NULL;5;5;0;1;7.61;5;2;1;0.4;3.31;10;7;1;0.7;5.46;0
2019-409;1;102302;01-2021;0.04762;0;NULL;5;5;0;1;8.76;4;4;0;1;8.81;9;9;0;1;8.78;0
2018-206;1;102302;01-2021;0.07407;0;NULL;3;2;0;0.6667;6.22;3;3;0;1;9.27;6;5;0;0.8333;7.74;0
2018-219;1;102302;01-2021;0.11801;0;NULL;3;3;0;1;8.88;3;3;0;1;8.18;6;6;0;1;8.53;0
2017-109;1;102301;01-2021;0.10526;0;NULL;4;2;2;0.5;4.16;3;1;0;0.3333;2.96;7;3;2;0.4286;3.56;0
2018-219;1;102302;01-2022;0.08511;0;NULL;3;3;0;1;8.35;4;4;0;1;7.87;7;7;0;1;8.11;0
2021-413;1;102302;01-2022;0.09259;1;50;5;5;0;1;8.02;5;5;0;1;8.05;10;10;0;1;8.03;0
2017-104;1;102301;01-2022;0.20000;0;NULL;4;1;2;0.25;3.07;4;0;4;0;1.17;8;1;6;0.125;2.12;1
2019-409;1;102301;01-2022;0.08511;0;NULL;5;4;1;0.8;6.77;5;5;0;1;7.56;10;9;1;0.9;7.16;0
2021-413;1;102301;01-2022;0.07778;0;NULL;5;3;2;0.6;6.59;5;5;0;1;8.46;10;8;2;0.8;7.53;0
2018-206;1;102302;01-2022;0.02158;0;NULL;3;3;0;1;9.05;2;2;0;1;9.34;5;5;0;1;9.2;0
2017-105;1;102301;01-2022;0.00000;0;NULL;4;2;1;0.5;5.18;3;1;1;0.3333;4.53;7;3;2;0.4286;4.86;0
2018-219;1;102302;01-2022;0.25490;0;NULL;3;2;0;0.6667;5.24;4;3;1;0.75;7.78;7;5;1;0.7143;6.51;0
2019-211;1;102302;01-2022;0.11515;0;NULL;5;5;0;1;8.4;5;5;0;1;8.32;10;10;0;1;8.36;0
2019-404;1;102301;01-2022;0.04000;0;NULL;7;6;0;0.8571;7.02;4;4;0;1;6.95;11;10;0;0.9091;6.98;0
2016-302;1;102302;01-2022;0.04202;0;NULL;5;5;0;1;8.44;5;4;1;0.8;7.69;10;9;1;0.9;8.06;0
2019-209;1;102302;01-2022;0.07407;0;NULL;5;4;1;0.8;7.66;4;3;1;0.75;6.01;9;7;2;0.7778;6.84;0
2019-409;1;102301;01-2022;0.12817;0;NULL;5;5;0;1;7.99;5;4;0;0.8;5.49;10;9;0;0.9;6.74;0
2022-802;1;102301;01-2022;0.15873;0;NULL;5;4;0;0.8;6.25;5;4;0;0.8;6.83;10;8;0;0.8;6.54;0
2019-701;1;102301;01-2022;0.14008;0;NULL;6;5;0;0.8333;6.56;5;3;2;0.6;6.7;11;8;2;0.7273;6.63;1
2016-302;1;102302;01-2022;0.25000;0;NULL;4;3;1;0.75;6.65;3;1;1;0.3333;3.83;7;4;2;0.5714;5.24;1
2019-415;1;102301;01-2022;0.20000;0;NULL;6;4;2;0.6667;7.12;3;3;0;1;6.73;9;7;2;0.7778;6.93;0
2018-219;1;102301;01-2022;0.07778;0;NULL;3;1;2;0.3333;6.22;4;4;0;1;7.3;7;5;2;0.7143;6.76;0
2022-702;1;102301;01-2023;0.06250;0;NULL;4;4;0;1;8.03;4;3;1;0.75;6.38;8;7;1;0.875;7.2;0
2022-702;1;102301;01-2023;0.09351;0;NULL;5;2;2;0.4;5.24;5;3;0;0.6;4.59;10;5;2;0.5;4.92;0
2022-105;1;102301;01-2023;0.16176;0;NULL;4;0;3;0;1.61;2;0;1;0;1.21;6;0;4;0;1.41;0
2023-104;1;102301;01-2023;0.09351;0;NULL;4;2;0;0.5;4.23;4;3;0;0.75;6.57;8;5;0;0.625;5.4;0
2019-209;1;102302;01-2023;0.09351;0;NULL;5;5;0;1;9.19;5;5;0;1;9.11;10;10;0;1;9.15;0
2019-209;1;102302;01-2023;0.11801;0;NULL;5;5;0;1;8.18;6;6;0;1;8.39;11;11;0;1;8.29;0
2022-103;1;102301;01-2023;0.17448;0;NULL;4;2;0;0.5;4.26;2;1;0;0.5;3.91;6;3;0;0.5;4.08;0
2018-206;1;102302;01-2023;0.27273;0;NULL;3;3;0;1;9.35;2;2;0;1;8.91;5;5;0;1;9.13;0
2023-403;1;102301;01-2023;0.09259;0;NULL;4;2;1;0.5;4.26;3;1;2;0.3333;2.82;7;3;3;0.4286;3.54;1
2018-206;1;102301;01-2023;0.07778;0;NULL;2;2;0;1;9.48;3;3;0;1;7.91;5;5;0;1;8.69;0
2023-404;1;102301;01-2023;0.12500;1;0;6;3;3;0.5;5.89;3;3;0;1;8.85;9;6;3;0.6667;7.37;0
2022-110;1;102301;01-2023;0.05675;0;NULL;4;2;0;0.5;4.2;5;2;0;0.4;3.26;9;4;0;0.4444;3.73;0
2018-206;1;102302;01-2023;0.16176;0;NULL;3;2;0;0.6667;5.65;3;3;0;1;8.94;6;5;0;0.8333;7.3;0
2023-702;1;102301;01-2023;0.09351;0;NULL;4;2;0;0.5;3.02;3;2;1;0.6667;4.3;7;4;1;0.5714;3.66;0
2018-206;1;102302;01-2023;0.11515;0;NULL;3;3;0;1;8.02;2;2;0;1;9.22;5;5;0;1;8.62;0
2024-104;1;102301;01-2024;0.09524;0;NULL;4;3;1;0.75;7.44;4;4;0;1;8.73;8;7;1;0.875;8.08;0
2024-104;1;102301;01-2024;0.09351;0;NULL;5;5;0;1;8.99;5;5;0;1;8.14;10;10;0;1;8.57;0
2024-104;1;102301;01-2024;0.04545;0;NULL;4;0;4;0;5.59;2;2;0;1;8.19;6;2;4;0.3333;6.89;0
2024-104;1;102302;01-2024;0.55675;0;NULL;4;0;4;0;2.51;2;0;2;0;1.95;6;0;6;0;2.23;1
2024-702;1;102301;01-2024;0.05675;0;NULL;4;2;2;0.5;4.8;3;1;2;0.3333;5.46;7;3;4;0.4286;5.13;0
2024-104;1;102301;01-2024;0.14173;0;NULL;4;1;2;0.25;3.8;3;2;1;0.6667;7.53;7;3;3;0.4286;5.66;0
2024-104;1;102301;01-2024;0.09735;0;NULL;4;1;0;0.25;2.13;4;1;3;0.25;2.56;8;2;3;0.25;2.35;0
2024-409;1;102302;01-2024;0.07407;1;50;5;5;0;1;8.99;5;5;0;1;8.38;10;10;0;1;8.68;0
2024-403;1;102302;01-2024;0.10101;0;NULL;6;4;0;0.6667;4.62;2;1;0;0.5;2.98;8;5;0;0.625;3.8;0
2024-215;1;102302;01-2024;0.10714;0;NULL;5;5;0;1;7.92;5;3;2;0.6;6.3;10;8;2;0.8;7.11;1
2024-215;1;102302;01-2024;0.21053;0;NULL;5;3;1;0.6;6.44;5;4;1;0.8;7.82;10;7;2;0.7;7.13;0
2024-104;1;102301;01-2024;0.05675;1;50;4;4;0;1;8.13;5;5;0;1;8.7;9;9;0;1;8.42;0
2024-219;1;102302;01-2024;0.04762;0;NULL;3;3;0;1;8.86;4;4;0;1;8.5;7;7;0;1;8.68;0
2024-301;1;102302;01-2024;0.10714;0;NULL;7;3;2;0.4286;4.66;4;3;0;0.75;5.94;11;6;2;0.5455;5.3;0
2024-802;1;102302;01-2024;0.02158;0;NULL;5;2;2;0.4;5.12;2;2;0;1;8.06;7;4;2;0.5714;6.59;0
2024-219;1;102301;01-2024;0.17448;0;NULL;3;3;0;1;8.21;4;4;0;1;7.74;7;7;0;1;7.97;0
2024-416;1;102301;01-2024;0.08511;0;NULL;3;3;0;1;9.19;4;3;1;0.75;6.05;7;6;1;0.8571;7.62;1
2024-702;1;102301;01-2024;0.25675;0;NULL;4;2;0;0.5;4.61;4;2;0;0.5;3.7;8;4;0;0.5;4.15;1
2024-404;1;102301;01-2024;0.09351;0;NULL;6;1;3;0.1667;3.97;4;1;1;0.25;3.62;10;2;4;0.2;3.79;0
2024-206;1;102301;01-2024;0.09091;0;NULL;3;2;1;0.6667;6.35;4;1;3;0.25;2.69;7;3;4;0.4286;4.52;0
2019-209;1;102302;01-2020;0.18175;0;NULL;5;5;0;1;8.77;5;5;0;1;8.97;10;10;0;1;8.87;0
2014-702;1;102302;01-2020;0.10101;0;NULL;5;1;2;0.2;4.14;4;2;2;0.5;5.22;9;3;4;0.3333;4.68;0
2019-211;1;102302;01-2021;0.14634;0;NULL;5;5;0;1;8.51;5;5;0;1;8.86;10;10;0;1;8.68;0
2017-104;1;102302;01-2021;0.17647;0;NULL;5;2;0;0.4;2.96;3;0;0;0;0;8;2;0;0.25;1.48;1
2017-104;1;102301;01-2022;0.09091;0;NULL;4;3;0;0.75;6.45;5;4;0;0.8;6.42;9;7;0;0.7778;6.43;0
2018-206;1;102302;01-2023;0.11925;0;NULL;3;3;0;1;8.94;4;4;0;1;8.59;7;7;0;1;8.77;0
2022-102;1;102301;01-2023;0.16176;0;NULL;4;2;0;0.5;4.05;4;0;1;0;1.02;8;2;1;0.25;2.54;0
2019-209;1;102302;01-2023;0.05675;0;NULL;5;5;0;1;8.7;5;5;0;1;8.61;10;10;0;1;8.65;0
2019-409;1;102302;01-2023;0.04202;1;100;5;5;0;1;7.93;5;5;0;1;8.32;10;10;0;1;8.13;0
2024-409;1;102302;01-2024;0.05675;0;NULL;5;5;0;1;8.89;5;5;0;1;9.1;10;10;0;1;9;0
2024-219;1;102301;01-2024;0.14173;0;NULL;3;3;0;1;7.62;4;4;0;1;7.55;7;7;0;1;7.58;0
2024-416;1;102302;01-2024;0.15675;0;NULL;4;4;0;1;8.56;3;3;0;1;7.89;7;7;0;1;8.22;0
2024-402;1;102301;01-2024;0.09524;0;NULL;5;0;4;0;2.54;3;2;1;0.6667;5.09;8;2;5;0.25;3.81;0
2024-219;1;102302;01-2024;0.07407;0;NULL;3;3;0;1;7.97;4;3;1;0.75;7.23;7;6;1;0.8571;7.6;0
2014-702;1;102301;01-2020;0.09351;0;NULL;5;5;0;1;7;5;4;1;0.8;8.32;10;9;1;0.9;7.66;1
2018-206;1;102301;01-2021;0.10753;0;NULL;3;3;0;1;9.25;4;4;0;1;9.14;7;7;0;1;9.19;0
2019-209;1;102302;01-2021;0.23377;0;NULL;5;5;0;1;8.98;4;4;0;1;8.92;9;9;0;1;8.95;0
2018-219;1;102302;01-2021;0.07778;0;NULL;4;4;0;1;8.54;2;2;0;1;8.84;6;6;0;1;8.69;0
2018-444;1;102301;01-2021;0.17448;0;NULL;6;6;0;1;7.89;5;5;0;1;7.59;11;11;0;1;7.74;1
2021-202;1;102302;01-2022;0.17647;0;NULL;5;5;0;1;8.6;5;5;0;1;8.85;10;10;0;1;8.72;0
2021-202;1;102302;01-2022;0.12817;0;NULL;5;5;0;1;8.79;5;5;0;1;8.83;10;10;0;1;8.81;0
2022-702;1;102301;01-2023;0.05675;0;NULL;4;0;3;0;3.31;4;1;1;0.25;2.98;8;1;4;0.125;3.14;0
2023-104;1;102301;01-2023;0.07778;0;NULL;4;2;0;0.5;4.22;3;1;1;0.3333;4.25;7;3;1;0.4286;4.23;0
2021-202;1;102301;01-2023;0.10000;0;NULL;4;4;0;1;8.69;5;5;0;1;7.69;9;9;0;1;8.19;0
2023-305;1;102302;01-2023;0.09735;0;NULL;4;4;0;1;8.23;4;4;0;1;7.88;8;8;0;1;8.06;0
2023-305;1;102301;01-2023;0.05556;0;NULL;5;4;0;0.8;6.82;5;5;0;1;8.06;10;9;0;0.9;7.44;0
2024-404;1;102301;01-2024;0.04762;1;100;5;4;1;0.8;8.19;5;5;0;1;9.21;10;9;1;0.9;8.7;0
2024-109;1;102301;01-2024;0.01389;0;NULL;4;4;0;1;8.62;4;3;1;0.75;7.36;8;7;1;0.875;7.99;0
2024-802;1;102302;01-2024;0.10714;0;NULL;5;4;0;0.8;6.51;4;4;0;1;8.23;9;8;0;0.8889;7.37;0
2024-409;1;102302;01-2024;0.05128;1;50;5;5;0;1;8.63;5;5;0;1;9.31;10;10;0;1;8.97;0
2024-701;1;102301;01-2024;0.18175;0;NULL;5;4;1;0.8;8.12;5;4;0;0.8;6.45;10;8;1;0.8;7.29;0
2024-206;1;102302;01-2024;0.02158;0;NULL;3;2;1;0.6667;7.81;2;2;0;1;8.2;5;4;1;0.8;8.01;0
2024-404;1;102301;01-2024;0.06329;0;NULL;4;3;0;0.75;6.79;5;5;0;1;8.07;9;8;0;0.8889;7.43;0
2018-441;1;102302;01-2024;0.17448;0;NULL;6;6;0;1;8.69;6;6;0;1;8.66;12;12;0;1;8.68;0
2024-208;1;102301;01-2024;0.14008;0;NULL;4;4;0;1;8.36;4;4;0;1;9.01;8;8;0;1;8.69;1
2014-702;1;102302;01-2020;0.10526;0;NULL;5;5;0;1;8.13;5;5;0;1;8.36;10;10;0;1;8.25;0
2017-106;1;102302;01-2020;0.02158;0;NULL;5;5;0;1;9.25;4;4;0;1;8.04;9;9;0;1;8.64;0
2018-219;1;102302;01-2020;0.05556;0;NULL;3;3;0;1;7.76;4;4;0;1;8.09;7;7;0;1;7.92;0
2019-405;1;102301;01-2020;0.17448;0;NULL;5;4;0;0.8;6.76;4;4;0;1;8.55;9;8;0;0.8889;7.65;0
2016-203;1;102301;01-2020;0.14815;0;NULL;4;4;0;1;7.85;3;3;0;1;9.35;7;7;0;1;8.6;0
2017-109;1;102301;01-2020;0.05675;0;NULL;4;3;1;0.75;7.19;3;3;0;1;6.56;7;6;1;0.8571;6.87;0
2017-109;1;102301;01-2020;0.09351;0;NULL;5;3;1;0.6;5.32;3;3;0;1;7.99;8;6;1;0.75;6.65;0
2016-413;1;102302;01-2020;0.07143;0;NULL;4;4;0;1;7.33;4;4;0;1;7.93;8;8;0;1;7.63;0
2016-302;1;102301;01-2020;0.05675;1;50;7;4;0;0.5714;4.47;4;4;0;1;8.19;11;8;0;0.7273;6.33;0
2019-209;1;102301;01-2020;0.10000;0;NULL;5;5;0;1;8.09;5;5;0;1;7.48;10;10;0;1;7.78;0
2016-301;1;102302;01-2020;0.05675;0;NULL;5;5;0;1;7.62;6;5;0;0.8333;6.73;11;10;0;0.9091;7.17;0
2019-404;1;102301;01-2020;0.05769;0;NULL;4;3;0;0.75;4.68;5;1;4;0.2;3.25;9;4;4;0.4444;3.96;1
2018-219;1;102301;01-2020;0.25000;0;NULL;3;3;0;1;8.88;3;3;0;1;8.89;6;6;0;1;8.89;0
2016-203;1;102301;01-2020;0.14815;0;NULL;4;4;0;1;7.87;4;4;0;1;7.21;8;8;0;1;7.54;0
2017-105;1;102301;01-2021;0.14634;0;NULL;4;1;3;0.25;3.43;2;1;0;0.5;4.63;6;2;3;0.3333;4.03;0
2018-206;1;102301;01-2021;0.07407;0;NULL;3;3;0;1;8.67;3;1;2;0.3333;4.47;6;4;2;0.6667;6.57;0
2014-702;1;102301;01-2021;0.09091;0;NULL;5;4;1;0.8;7.3;5;2;1;0.4;4.54;10;6;2;0.6;5.92;0
2018-219;1;102301;01-2022;0.05675;0;NULL;3;3;0;1;7.6;3;3;0;1;7.34;6;6;0;1;7.47;0
2019-211;1;102302;01-2022;0.22341;0;NULL;5;5;0;1;8.36;6;6;0;1;8.24;11;11;0;1;8.3;0
2021-202;1;102302;01-2022;0.05675;0;NULL;5;5;0;1;8.72;5;5;0;1;8.33;10;10;0;1;8.52;0
2019-209;1;102302;01-2022;0.05675;0;NULL;5;5;0;1;8.89;4;4;0;1;9.23;9;9;0;1;9.06;0
2017-104;1;102301;01-2022;0.04000;1;100;4;4;0;1;8.59;5;1;4;0.2;5.7;9;5;4;0.5556;7.15;0
2018-206;1;102301;01-2022;0.07692;0;NULL;3;3;0;1;9.15;2;2;0;1;8.99;5;5;0;1;9.07;0
2022-203;1;102301;01-2022;0.31818;0;NULL;4;4;0;1;8.4;4;4;0;1;8.33;8;8;0;1;8.36;0
2023-414;1;102302;01-2023;0.06557;0;NULL;4;1;2;0.25;3.73;3;1;2;0.3333;5.5;7;2;4;0.2857;4.61;1
2023-106;1;102302;01-2023;0.10526;0;NULL;6;5;0;0.8333;6.17;2;2;0;1;6.9;8;7;0;0.875;6.53;0
2023-404;1;102301;01-2023;0.15873;0;NULL;5;1;0;0.2;1.39;5;4;0;0.8;6.47;10;5;0;0.5;3.93;0
2019-209;1;102302;01-2023;0.08602;0;NULL;5;5;0;1;8.7;5;5;0;1;8.79;10;10;0;1;8.75;0
2023-301;1;102302;01-2023;0.07778;0;NULL;6;5;0;0.8333;6.57;2;2;0;1;8.5;8;7;0;0.875;7.54;0
2019-409;1;102302;01-2023;0.04202;0;NULL;5;5;0;1;9.36;5;5;0;1;9.29;10;10;0;1;9.33;0
2018-219;1;102302;01-2023;0.01389;0;NULL;3;3;0;1;8.66;3;3;0;1;9.43;6;6;0;1;9.04;0
2023-701;1;102301;01-2023;0.11801;0;NULL;4;3;1;0.75;7.17;5;5;0;1;7.97;9;8;1;0.8889;7.57;0
2023-404;1;102302;01-2023;0.15675;0;NULL;4;4;0;1;9.29;3;3;0;1;9.21;7;7;0;1;9.25;1
2022-103;1;102301;01-2023;0.05675;0;NULL;3;1;1;0.3333;3.51;3;2;0;0.6667;4.3;6;3;1;0.5;3.9;0
2024-104;1;102301;01-2024;0.18175;0;NULL;4;2;0;0.5;4.48;4;2;1;0.5;5.45;8;4;1;0.5;4.97;0
2024-206;1;102302;01-2024;0.14173;0;NULL;3;3;0;1;8.73;3;3;0;1;7.98;6;6;0;1;8.35;0
2024-305;1;102302;01-2024;0.10714;0;NULL;4;4;0;1;8.94;4;4;0;1;7.93;8;8;0;1;8.43;0
2024-202;1;102302;01-2024;0.09259;0;NULL;4;4;0;1;9.08;5;5;0;1;8.11;9;9;0;1;8.59;0
2024-404;1;102301;01-2024;0.26667;0;NULL;3;0;0;0;0;5;0;5;0;1.56;8;0;5;0;0.78;1
2024-103;1;102301;01-2024;0.30675;0;NULL;3;3;0;1;6.83;3;0;3;0;0.53;6;3;3;0.5;3.68;1
2016-302;1;102301;01-2020;0.05769;0;NULL;4;3;0;0.75;6.04;5;5;0;1;7.47;9;8;0;0.8889;6.76;0
2016-303;1;102301;01-2020;0.23377;1;50;5;5;0;1;9.08;5;5;0;1;8.74;10;10;0;1;8.91;0
2019-403;1;102301;01-2020;0.17448;0;NULL;5;5;0;1;7.72;4;4;0;1;7.95;9;9;0;1;7.84;0
2016-302;1;102302;01-2020;0.10000;1;50;5;5;0;1;8.66;4;3;1;0.75;7.36;9;8;1;0.8889;8.01;0
2019-209;1;102301;01-2020;0.05675;0;NULL;5;5;0;1;7.25;5;4;1;0.8;7.39;10;9;1;0.9;7.32;0
2013-207;1;102302;01-2020;0.31818;1;50;5;5;0;1;8.29;5;5;0;1;8.34;10;10;0;1;8.32;0
2013-703;1;102301;01-2020;0.45313;0;NULL;6;5;1;0.8333;7.64;5;5;0;1;8.23;11;10;1;0.9091;7.93;0
2009-441;1;102301;01-2020;0.17448;0;NULL;6;6;0;1;7.78;5;5;0;1;8.22;11;11;0;1;8;0
2019-701;1;102301;01-2021;0.09351;0;NULL;5;4;0;0.8;6.66;6;5;0;0.8333;6.69;11;9;0;0.8182;6.67;0
2019-701;1;102301;01-2021;0.05675;0;NULL;5;4;0;0.8;6.55;6;5;0;0.8333;6.63;11;9;0;0.8182;6.59;0
2017-109;1;102302;01-2021;0.13333;0;NULL;4;4;0;1;7.57;5;0;0;0;0;9;4;0;0.4444;3.78;1
2019-409;1;102302;01-2021;0.00000;0;NULL;5;5;0;1;8.32;5;5;0;1;8.57;10;10;0;1;8.45;0
2019-404;1;102302;01-2021;0.06250;1;100;5;5;0;1;8.19;6;5;1;0.8333;8.26;11;10;1;0.9091;8.23;0
2017-106;1;102301;01-2021;0.10000;0;NULL;5;2;3;0.4;4.8;2;0;2;0;2.81;7;2;5;0.2857;3.81;0
2018-219;1;102302;01-2021;0.16667;0;NULL;3;3;0;1;8.89;3;3;0;1;8.41;6;6;0;1;8.65;0
2019-209;1;102302;01-2021;0.11801;0;NULL;4;2;2;0.5;6.05;3;3;0;1;8.46;7;5;2;0.7143;7.25;0
2017-106;1;102302;01-2021;0.01389;0;NULL;4;2;2;0.5;7.02;3;2;1;0.6667;6.18;7;4;3;0.5714;6.6;0
2019-701;1;102301;01-2021;0.26667;0;NULL;4;3;0;0.75;6.67;5;5;0;1;7.62;9;8;0;0.8889;7.15;0
2017-106;1;102301;01-2022;0.11515;0;NULL;4;2;1;0.5;5.34;3;2;1;0.6667;6.9;7;4;2;0.5714;6.12;0
2018-219;1;102302;01-2022;0.05675;0;NULL;3;3;0;1;7.18;4;4;0;1;8.04;7;7;0;1;7.61;0
2019-404;1;102301;01-2022;0.04762;0;NULL;5;5;0;1;8.41;4;4;0;1;8.04;9;9;0;1;8.23;0
2019-402;1;102301;01-2022;0.11801;0;NULL;5;4;0;0.8;5.89;4;4;0;1;7.38;9;8;0;0.8889;6.64;0
2018-206;1;102302;01-2022;0.14173;0;NULL;3;3;0;1;8.78;2;2;0;1;8.26;5;5;0;1;8.52;0
2016-301;1;102302;01-2022;0.05675;0;NULL;5;4;1;0.8;6.21;5;2;2;0.4;4.43;10;6;3;0.6;5.32;0
2016-303;1;102302;01-2022;0.10101;0;NULL;5;4;1;0.8;7.24;5;2;2;0.4;4.32;10;6;3;0.6;5.78;0
2017-104;1;102301;01-2022;0.05769;0;NULL;4;2;0;0.5;4.62;4;3;1;0.75;6.73;8;5;1;0.625;5.67;0
2017-104;1;102301;01-2022;0.10753;0;NULL;5;2;1;0.4;3.6;4;0;0;0;0;9;2;1;0.2222;1.8;1
2017-106;1;102301;01-2022;0.09524;0;NULL;5;2;1;0.4;3.63;1;0;1;0;0;6;2;2;0.3333;1.82;0
2018-206;1;102302;01-2022;0.22341;0;NULL;3;3;0;1;8.6;3;3;0;1;8.4;6;6;0;1;8.5;0
2022-208;1;102301;01-2022;0.31818;0;NULL;5;5;0;1;9.16;4;4;0;1;9.1;9;9;0;1;9.13;1
2022-109;1;102301;01-2023;0.09351;0;NULL;4;4;0;1;8.54;5;4;1;0.8;7.49;9;8;1;0.8889;8.01;0
2022-103;1;102301;01-2023;0.03571;0;NULL;4;2;0;0.5;3.83;3;0;0;0;0;7;2;0;0.2857;1.91;0
2023-104;1;102301;01-2023;0.05769;0;NULL;5;0;5;0;2.73;2;0;2;0;2.72;7;0;7;0;2.73;0
2019-409;1;102302;01-2023;0.10714;1;50;5;5;0;1;8.82;5;5;0;1;8.94;10;10;0;1;8.88;0
2022-109;1;102301;01-2023;0.16176;0;NULL;4;2;1;0.5;4.21;4;0;4;0;2.2;8;2;5;0.25;3.2;0
2021-413;1;102302;01-2023;0.14173;0;NULL;5;5;0;1;7.43;4;4;0;1;8.2;9;9;0;1;7.81;0
2018-206;1;102302;01-2023;0.06250;0;NULL;3;3;0;1;8.5;3;3;0;1;7.85;6;6;0;1;8.17;0
2018-206;1;102301;01-2023;0.12817;0;NULL;3;3;0;1;8.94;3;3;0;1;8.78;6;6;0;1;8.86;0
2019-409;1;102302;01-2023;0.25714;0;NULL;5;5;0;1;8.89;4;4;0;1;9.23;9;9;0;1;9.06;0
2023-305;1;102302;01-2023;0.08511;0;NULL;4;4;0;1;7.83;4;4;0;1;7.51;8;8;0;1;7.67;0
2019-209;1;102302;01-2023;0.04202;0;NULL;5;5;0;1;8.57;5;5;0;1;8.72;10;10;0;1;8.65;0
2022-416;1;102302;01-2023;0.14173;0;NULL;3;3;0;1;8.01;4;4;0;1;7.53;7;7;0;1;7.77;0
2018-206;1;102302;01-2023;0.05675;0;NULL;3;3;0;1;8.57;3;3;0;1;7.53;6;6;0;1;8.05;0
2018-219;1;102302;01-2023;0.05769;0;NULL;3;3;0;1;7.96;4;4;0;1;8.27;7;7;0;1;8.12;0
2022-102;1;102301;01-2023;0.01389;0;NULL;3;0;1;0;1.3;3;2;1;0.6667;5.53;6;2;2;0.3333;3.42;0
2023-104;1;102301;01-2023;0.09735;0;NULL;6;3;0;0.5;3.75;4;4;0;1;8.07;10;7;0;0.7;5.91;0
2022-105;1;102301;01-2023;0.10256;0;NULL;4;4;0;1;7.62;5;3;0;0.6;4.41;9;7;0;0.7778;6.01;0
2018-219;1;102302;01-2023;0.15873;0;NULL;3;3;0;1;8.7;4;4;0;1;8.21;7;7;0;1;8.45;0
2022-702;1;102301;01-2023;0.23377;0;NULL;7;2;2;0.2857;2.35;3;0;2;0;2.52;10;2;4;0.2;2.44;0
2023-305;1;102302;01-2023;0.11230;0;NULL;4;4;0;1;8.57;3;3;0;1;7.43;7;7;0;1;8;0
2018-441;1;102301;01-2023;0.17448;0;NULL;6;6;0;1;7.68;5;5;0;1;7.73;11;11;0;1;7.71;0
2024-404;1;102301;01-2024;0.06250;1;100;5;4;1;0.8;7.86;5;5;0;1;8.38;10;9;1;0.9;8.12;0
2024-105;1;102301;01-2024;0.09351;0;NULL;4;2;1;0.5;5.92;4;1;2;0.25;3.68;8;3;3;0.375;4.8;1
2024-106;1;102302;01-2024;0.03571;0;NULL;3;2;1;0.6667;7.82;4;0;0;0;0;7;2;1;0.2857;3.91;1
2024-104;1;102301;01-2024;0.05675;0;NULL;3;2;1;0.6667;6.46;3;0;1;0;1.55;6;2;2;0.3333;4;0
2024-209;1;102302;01-2024;0.09351;0;NULL;5;5;0;1;9.28;5;5;0;1;9.56;10;10;0;1;9.42;0
2024-702;1;102301;01-2024;0.10101;0;NULL;6;2;1;0.3333;3.39;5;0;0;0;0;11;2;1;0.1818;1.7;1
2024-219;1;102302;01-2024;0.04202;0;NULL;3;3;0;1;9.04;4;4;0;1;9.35;7;7;0;1;9.2;0
2024-303;1;102302;01-2024;0.16667;0;NULL;4;4;0;1;7.96;4;4;0;1;7.59;8;8;0;1;7.78;0
2024-209;1;102302;01-2024;0.00000;0;NULL;5;5;0;1;8.59;5;5;0;1;9.17;10;10;0;1;8.88;0
